Customer_ID,Customer_Segment,Region,Plan_Type,Payment_Method,Subscription_Start_Date,Monthly_Fee,Number_of_Transactions,Average_Transaction_Value,Credit_Score,Customer_Support_Tickets,Satisfaction_Score,Total_Revenue,Is_Churned,Column1,Churn_Date,Churn_Reason,Account_Tenure_Months,Login_Frequency,Feature_Usage_Score,Outstanding_Balance,Revenue_Growth_Rate,Avg_Rev_Per_Month,Customer_Lifetime_Value
CUST1000,SME,Ibadan,Premium,Transfer,4/2/2021,10000,37,82537.31,,6,3.1,3053880.47,0,Not_Churned,,None,54.7,Monthly,80,5000,0.09,55829.62,3616682.09
CUST1001,Enterprise,Lagos,Basic,Wallet,2/23/2023,10000,134,36054.81,795,7,4.3,4831344.54,0,Not_Churned,,None,31.7,Weekly,55,50000,0.4,152408.35,5624875.43
CUST1002,Retail,Ibadan,Standard,Transfer,8/16/2022,10000,18,69771.32,675,8,3.5,1255883.76,0,Not_Churned,,None,38,Weekly,77,0,0.27,33049.57,1557886.88
CUST1003,SME,Ibadan,Basic,Card,4/21/2022,20000,5,48393.27,737,5,4.7,241966.35,0,Not_Churned,,None,41.9,Weekly,60,10000,0.38,5774.85,306099.3
CUST1004,SME,Lagos,Standard,Card,6/20/2024,10000,94,90020.74,561,9,3,8461949.56,0,Not_Churned,,None,15.6,Monthly,68,5000,0.01,542432.66,11800004.4
CUST1005,Enterprise,Ibadan,Premium,Cash,8/29/2021,30000,190,86070.3,836,8,3.1,16353357,0,Not_Churned,,None,49.8,Monthly,83,50000,-0.13,328380.66,17425719.57
CUST1006,Retail,Kano,Standard,Transfer,12/12/2020,5000,93,57288.88,591,3,,5327865.84,1,Is_Churned,7/21/2021,Inactive,58.4,Weekly,99,0,0.1,91230.58,5621761.01
CUST1007,Retail,Kano,Basic,Card,9/26/2023,20000,148,72235.5,550,7,,10690854,0,Not_Churned,,None,24.5,Daily,77,0,-0.13,436361.39,12547801.29
CUST1008,SME,Kano,Basic,Transfer,6/24/2022,5000,94,89501.47,764,2,3.5,8413138.18,0,Not_Churned,,None,39.8,Monthly,84,0,0.1,211385.38,9256651.1
CUST1009,Corporate,Lagos,Premium,Card,12/5/2020,20000,179,54614.53,810,3,3,9776000.87,0,Not_Churned,,None,58.7,Weekly,98,5000,-0.04,166541.75,11396912.81
CUST1010,SME,Ibadan,Basic,Wallet,12/15/2023,30000,176,38192.57,512,9,2.8,6721892.32,0,Not_Churned,,None,21.8,Daily,63,5000,0.09,308343.68,8465161.46
CUST1011,SME,Lagos,Premium,Card,2/27/2024,20000,18,77829.95,672,3,4,1400939.1,0,Not_Churned,,None,19.4,Daily,76,0,0.37,72213.36,2041658.57
CUST1012,SME,Kano,Basic,Cash,2/3/2021,20000,156,29805.96,575,5,2.4,4649729.76,1,Is_Churned,3/6/2022,None,56.7,Monthly,68,5000,-0.03,82005.82,4927081.79
CUST1013,SME,Ibadan,Basic,Wallet,11/21/2020,20000,115,44967.8,548,8,4.6,5171297,1,Is_Churned,3/12/2025,Poor Service,59.1,Daily,70,0,0.4,87500.8,5666697.28
CUST1014,Enterprise,Ibadan,Premium,Cash,8/21/2023,5000,187,87915.45,577,5,4.3,16440189.15,0,Not_Churned,,None,25.7,Monthly,84,20000,-0.06,639696.08,19707319.35
CUST1015,Retail,Enugu,Standard,Wallet,5/28/2024,10000,147,75198.01,823,0,,11054107.47,0,Not_Churned,,None,16.3,Weekly,91,5000,-0.08,678166.1,14778544.51
CUST1016,Enterprise,Enugu,Basic,Transfer,2/22/2024,5000,87,46342.99,781,4,4.1,4031840.13,0,Not_Churned,,None,19.5,Monthly,78,10000,0.13,206761.03,5007020.2
CUST1017,Enterprise,Abuja,Standard,Cash,3/3/2022,10000,76,29327.01,622,8,3.8,2228852.76,1,Is_Churned,1/5/2025,Inactive,43.6,Daily,51,5000,0.31,51120.48,2666507.84
CUST1018,Enterprise,Port Harcourt,Basic,Card,6/3/2022,5000,166,42037.16,658,4,2.6,6978168.56,1,Is_Churned,11/11/2024,High Fees,40.5,Monthly,69,0,0.25,172300.46,8522679.57
CUST1019,SME,Enugu,Basic,Transfer,8/10/2023,30000,134,35569.37,672,5,2.8,4766295.58,0,Not_Churned,,None,26.1,Monthly,92,10000,0.23,182616.69,5558156.17
CUST1020,Corporate,Lagos,Basic,Card,4/21/2023,30000,31,25848.04,588,2,3.2,801289.24,0,Not_Churned,,None,29.8,Weekly,43,50000,-0.03,26888.9,1061313.32
CUST1021,Retail,Enugu,Basic,Wallet,10/2/2020,20000,78,76899.96,705,7,4.1,5998196.88,1,Is_Churned,8/9/2023,Inactive,60.8,Daily,69,10000,-0.19,98654.55,6516173.41
CUST1022,Corporate,Abuja,Standard,Wallet,1/25/2022,30000,103,32686.29,777,9,3.9,3366687.87,0,Not_Churned,,None,44.8,Monthly,44,10000,-0.1,75149.28,3783488.39
CUST1023,Enterprise,Ibadan,Standard,Card,9/24/2020,20000,76,50875.07,489,3,3.6,3866505.32,0,Not_Churned,,None,61.1,Weekly,55,5000,0.01,63281.59,4528384.7
CUST1024,Enterprise,Abuja,Basic,Card,2/14/2023,10000,27,44727.35,742,3,4.3,1207638.45,1,Is_Churned,3/17/2021,High Fees,32,Weekly,66,10000,0.38,37738.7,1626933.97
CUST1025,Corporate,Ibadan,Basic,Transfer,8/31/2024,30000,72,98386.96,661,4,4.3,7083861.12,0,Not_Churned,,None,13.2,Weekly,43,10000,0.35,536656.15,12677324.56
CUST1026,Corporate,Ibadan,Standard,Card,2/16/2022,10000,146,45198.3,555,9,3.9,6598951.8,0,Not_Churned,,None,44.1,Weekly,47,0,-0.08,149636.1,7246856.18
CUST1027,Corporate,Port Harcourt,Premium,Cash,2/6/2023,5000,195,17198.42,599,8,4.4,3353691.9,1,Is_Churned,12/9/2024,Switched to Competitor,32.2,Weekly,87,5000,0.24,104151.92,4602828.37
CUST1028,Enterprise,Enugu,Premium,Cash,3/9/2020,10000,121,18084.32,454,7,3,2188202.72,0,Not_Churned,,None,67.7,Monthly,47,0,0.15,32322.05,2480697.9
CUST1029,Enterprise,Lagos,Standard,Card,1/1/2022,5000,110,63167.83,653,6,4.6,6948461.3,0,Not_Churned,,None,45.6,Monthly,56,5000,-0.17,152378.54,8105931.49
CUST1030,Retail,Lagos,Basic,Cash,6/13/2020,10000,97,63942.72,841,4,3.8,6202443.84,0,Not_Churned,,None,64.5,Daily,85,50000,0.02,96161.92,7317304.05
CUST1031,Retail,Kano,Basic,Card,2/13/2023,10000,69,47688.31,572,8,4.5,3290493.39,0,Not_Churned,,None,32,Monthly,83,10000,0.09,102827.92,4355422.93
CUST1032,Enterprise,Ibadan,Premium,Transfer,12/26/2020,30000,72,48865.93,599,8,3.6,3518346.96,0,Not_Churned,,None,58,Daily,42,5000,0.2,60661.15,4077987.5
CUST1033,Corporate,Lagos,Premium,Cash,3/10/2023,10000,132,14853.93,802,9,2.7,1960718.76,0,Not_Churned,,None,31.2,Daily,66,10000,-0.02,62843.55,2623440.14
CUST1034,Corporate,Port Harcourt,Standard,Cash,11/5/2021,30000,67,56489.19,501,9,3.6,3784775.73,0,Not_Churned,,None,47.5,Daily,91,10000,0.36,79679.49,4300238.27
CUST1035,Retail,Ibadan,Premium,Card,5/7/2023,30000,117,55426.55,684,1,3.1,6484906.35,1,Is_Churned,2/13/2022,Switched to Competitor,29.2,Monthly,73,20000,0.07,222085.83,8519200.45
CUST1036,Enterprise,Port Harcourt,Standard,Cash,12/23/2023,20000,94,23459.44,550,3,,2205187.36,0,Not_Churned,,None,21.6,Weekly,84,0,-0.05,102092.01,2686573.72
CUST1037,Retail,Lagos,Premium,Wallet,11/21/2021,20000,85,19345.54,510,7,3.4,1644370.9,1,Is_Churned,3/12/2021,Inactive,47,Daily,60,5000,-0.01,34986.61,2060431.64
CUST1038,Retail,Lagos,Premium,Transfer,6/9/2021,5000,107,21121.52,815,0,4.5,2260002.64,0,Not_Churned,,None,52.5,Weekly,82,50000,0.25,43047.67,2617334.29
CUST1039,SME,Kano,Premium,Transfer,6/8/2023,10000,196,19092.54,665,4,4,3742137.84,1,Is_Churned,3/16/2025,Switched to Competitor,28.2,Daily,63,,0.18,132699.92,5112680.46
CUST1040,SME,Lagos,Basic,Cash,2/18/2020,5000,164,64873.74,490,7,4.1,10639293.36,0,Not_Churned,,None,68.4,Monthly,83,0,0.25,155545.22,11676166.65
CUST1041,SME,Ibadan,Basic,Cash,10/27/2020,10000,120,27683.44,576,1,2.7,3322012.8,0,Not_Churned,,None,60,Daily,89,50000,-0.02,55366.88,3866119.71
CUST1042,Corporate,Ibadan,Basic,Wallet,4/16/2024,20000,17,32628.71,848,1,5,554688.07,0,Not_Churned,,None,17.7,Monthly,80,50000,0,31338.31,757962.91
CUST1043,Enterprise,Ibadan,Premium,Wallet,8/22/2022,20000,198,25621.49,630,7,4.5,5073055.02,0,Not_Churned,,None,37.8,Weekly,68,10000,0.04,134207.8,6188327.8
CUST1044,Enterprise,Kano,Standard,Cash,5/28/2020,10000,128,96205.18,428,9,4.4,12314263.04,0,Not_Churned,,None,65,Monthly,78,0,-0.09,189450.2,14209373.77
CUST1045,Enterprise,Kano,Standard,Cash,6/16/2021,10000,151,86915.57,842,8,3,13124251.07,0,Not_Churned,,None,52.2,Weekly,45,20000,0.21,251422.43,14142075.52
CUST1046,Enterprise,Lagos,Standard,Wallet,3/26/2023,20000,156,30744.54,700,6,3.6,4796148.24,1,Is_Churned,4/12/2020,None,30.6,Monthly,95,5000,0,156736.87,5769652.31
CUST1047,SME,Abuja,Standard,Card,1/5/2024,20000,92,39480.97,594,7,2.4,3632249.24,1,Is_Churned,6/3/2024,Inactive,21.1,Daily,53,5000,0,172144.51,4992953.83
CUST1048,Corporate,Abuja,Basic,Wallet,7/4/2021,5000,15,28890.36,,4,3.6,433355.4,1,Is_Churned,6/5/2024,Poor Service,51.6,Daily,89,20000,-0.04,8398.36,483795.75
CUST1049,Corporate,Kano,Basic,Card,3/4/2024,20000,191,54268.84,638,0,2.4,10365348.44,0,Not_Churned,,None,19.2,Monthly,53,10000,0.07,539861.9,13487102.68
CUST1050,SME,Lagos,Premium,Transfer,12/7/2023,10000,19,11764.95,756,3,3.7,223534.05,1,Is_Churned,9/7/2021,None,22.1,Weekly,76,10000,0.26,10114.66,279518.39
CUST1051,Corporate,Abuja,Premium,Transfer,1/26/2022,5000,14,70423.12,783,1,3.9,985923.68,1,Is_Churned,9/19/2023,Inactive,44.8,Weekly,91,50000,0.3,22007.22,1097062.7
CUST1052,SME,Lagos,Standard,Wallet,7/1/2024,10000,45,57084.23,666,2,3.2,2568790.35,0,Not_Churned,,None,15.2,Weekly,63,0,0.28,168999.37,4366967.56
CUST1053,Enterprise,Lagos,Basic,Card,8/31/2020,30000,159,90877.5,613,2,3.5,14449522.5,0,Not_Churned,,None,61.9,Monthly,52,50000,0.17,233433.32,17090400.85
CUST1054,SME,Lagos,Standard,Wallet,5/20/2022,5000,192,24795.34,481,8,4.6,4760705.28,0,Not_Churned,,None,41,Monthly,40,5000,-0.03,116114.76,5840749.51
CUST1055,Enterprise,Enugu,Premium,Wallet,2/8/2024,10000,77,82369.83,527,9,2.3,6342476.91,0,Not_Churned,,None,20,Monthly,51,20000,0.24,317123.85,7379470.6
CUST1056,Enterprise,Ibadan,Premium,Card,3/24/2023,20000,56,81276.49,661,3,4.4,4551483.44,0,Not_Churned,,None,30.7,Monthly,90,0,-0.18,148256.79,6045333.51
CUST1057,Retail,Lagos,Standard,Wallet,1/10/2022,30000,132,21446.31,466,1,2.5,2830912.92,0,Not_Churned,,None,45.3,Weekly,81,20000,0.28,62492.56,3317571.19
CUST1058,SME,Enugu,Premium,Transfer,5/27/2022,10000,32,45870.33,461,2,2.1,1467850.56,0,Not_Churned,,None,40.7,Weekly,63,0,0.27,36065.12,1822117.73
CUST1059,Retail,Kano,Standard,Cash,6/12/2024,5000,69,25313.74,532,2,2.6,1746648.06,0,Not_Churned,,None,15.8,Monthly,76,5000,0.2,110547.35,2513409.56
CUST1060,SME,Abuja,Basic,Cash,6/25/2021,10000,21,32924.85,536,6,4.3,691421.85,0,Not_Churned,,None,51.9,Monthly,59,5000,-0.14,13322.19,736337.92
CUST1061,SME,Ibadan,Standard,Wallet,12/11/2020,30000,99,33692.16,427,7,3.2,3335523.84,1,Is_Churned,9/6/2024,High Fees,58.5,Weekly,45,0,0.4,57017.5,3856418.8
CUST1062,Retail,Abuja,Basic,Card,5/7/2022,5000,176,60061.28,610,5,4.6,10570785.28,1,Is_Churned,8/12/2020,Switched to Competitor,41.4,Weekly,51,10000,0.25,255332.98,12357390.18
CUST1063,Retail,Ibadan,Basic,Card,6/13/2021,30000,142,47026.98,604,3,3.6,6677831.16,1,Is_Churned,5/11/2022,Switched to Competitor,52.3,Daily,60,0,0.24,127683.2,8065286.99
CUST1064,SME,Abuja,Premium,Transfer,8/11/2022,10000,67,95295.95,652,5,2.1,6384828.65,0,Not_Churned,,None,38.2,Monthly,42,5000,-0.16,167142.11,7996620.32
CUST1065,Corporate,Ibadan,Premium,Card,8/24/2021,20000,179,21373.31,437,0,4.2,3825822.49,0,Not_Churned,,None,49.9,Daily,66,20000,0.04,76669.79,4303939.6
CUST1066,Enterprise,Abuja,Premium,Card,7/6/2020,20000,42,97632.29,,9,2.3,4100556.18,0,Not_Churned,,None,63.7,Weekly,85,50000,-0.15,64372.94,4713176.66
CUST1067,Retail,Abuja,Standard,Transfer,12/24/2021,10000,74,30757.48,516,7,,2276053.52,0,Not_Churned,,None,45.9,Weekly,92,20000,0.02,49587.22,2645819.22
CUST1068,Enterprise,Abuja,Standard,Wallet,1/1/2022,10000,108,79558.65,804,0,2.5,8592334.2,0,Not_Churned,,None,45.6,Monthly,75,5000,0.14,188428.38,9495847.38
CUST1069,Corporate,Abuja,Premium,Cash,9/19/2020,10000,57,40507.29,589,4,3,2308915.53,0,Not_Churned,,None,61.2,Daily,56,20000,0.33,37727.38,2564668.69
CUST1070,Corporate,Kano,Standard,Transfer,8/8/2021,5000,176,22877.33,445,1,4.3,4026410.08,1,Is_Churned,11/16/2022,Switched to Competitor,50.5,Weekly,88,10000,-0.03,79730.89,4425308.5
CUST1071,Corporate,Lagos,Premium,Wallet,3/22/2024,30000,123,87210.03,565,5,4.9,10726833.69,0,Not_Churned,,None,18.6,Daily,85,10000,0.17,576711.49,12482798.33
CUST1072,Retail,Port Harcourt,Standard,Transfer,1/20/2021,30000,78,37797.48,704,8,3.1,2948203.44,0,Not_Churned,,None,57.1,Daily,54,0,-0.1,51632.28,3217783.68
CUST1073,Corporate,Enugu,Basic,Wallet,10/31/2020,30000,58,69296.99,602,4,4.5,4019225.42,0,Not_Churned,,None,59.8,Daily,78,20000,0.01,67211.13,4347598.45
CUST1074,Retail,Port Harcourt,Basic,Transfer,12/29/2022,10000,24,60979.93,632,3,2.6,1463518.32,0,Not_Churned,,None,33.5,Daily,43,20000,0.37,43687.11,1596284.72
CUST1075,Corporate,Port Harcourt,Premium,Wallet,2/22/2024,30000,83,52458.07,,1,4.4,4354019.81,0,Not_Churned,,None,19.5,Daily,56,5000,0.25,223283.07,6599204.44
CUST1076,Enterprise,Ibadan,Standard,Transfer,8/5/2024,10000,35,54623.75,608,2,4,1911831.25,0,Not_Churned,,None,14,Monthly,77,0,0.13,136559.38,2416126.6
CUST1077,Enterprise,Lagos,Standard,Wallet,2/19/2020,5000,139,75901.41,647,5,,10550295.99,0,Not_Churned,,None,68.3,Monthly,50,0,-0.05,154469.93,11638001.12
CUST1078,SME,Ibadan,Basic,Transfer,3/26/2023,20000,62,17899.56,694,7,2.9,1109772.72,0,Not_Churned,,None,30.6,Daily,51,20000,0.03,36267.08,1354972.51
CUST1079,Enterprise,Lagos,Basic,Cash,2/11/2024,10000,109,70136.26,,7,,7644852.34,0,Not_Churned,,None,19.9,Monthly,86,50000,-0.11,384163.43,9424555.83
CUST1080,SME,Lagos,Premium,Cash,2/13/2024,10000,14,90623.09,782,4,3.1,1268723.26,0,Not_Churned,,None,19.8,Weekly,71,20000,0.01,64076.93,2018539.69
CUST1081,Enterprise,Abuja,Basic,Card,2/9/2021,20000,14,15200.94,557,4,2.6,212813.16,0,Not_Churned,,None,56.5,Daily,66,20000,-0.11,3766.6,244578.91
CUST1082,Retail,Kano,Premium,Wallet,12/25/2020,20000,43,22658.8,804,9,3.9,974328.4,1,Is_Churned,9/7/2024,Inactive,58,Monthly,83,20000,0.28,16798.77,1147719.14
CUST1083,Enterprise,Abuja,Basic,Transfer,10/26/2020,5000,160,74496.87,400,2,5,11919499.2,0,Not_Churned,,None,60,Monthly,82,10000,-0.15,198658.32,13402536.21
CUST1084,SME,Kano,Basic,Wallet,6/4/2021,30000,162,49355.35,616,6,2,7995566.7,0,Not_Churned,,None,52.6,Weekly,66,0,-0.09,152006.97,9440439.58
CUST1085,SME,Ibadan,Standard,Cash,11/28/2022,10000,41,46319.38,815,5,3.6,1899094.58,0,Not_Churned,,None,34.6,Weekly,88,10000,0.21,54887.13,2542811.67
CUST1086,Corporate,Kano,Basic,Wallet,2/24/2024,30000,123,22327,648,0,3.7,2746221,0,Not_Churned,,None,19.5,Weekly,79,50000,0.34,140831.85,3610315.84
CUST1087,Retail,Ibadan,Basic,Transfer,2/25/2021,10000,71,55609.3,791,3,4.7,3948260.3,0,Not_Churned,,None,55.9,Weekly,83,5000,0.38,70630.77,4480701.25
CUST1088,Enterprise,Port Harcourt,Premium,Wallet,8/27/2023,5000,47,21389.08,,5,,1005286.76,0,Not_Churned,,None,25.5,Daily,68,50000,0.3,39423.01,1306117.12
CUST1089,Corporate,Port Harcourt,Basic,Transfer,3/24/2020,20000,56,52895.84,429,5,3.6,2962167.04,0,Not_Churned,,None,67.2,Monthly,48,0,-0.07,44079.87,3487949.9
CUST1090,Enterprise,Kano,Premium,Cash,7/28/2023,5000,105,78725.38,514,2,3.4,8266164.9,0,Not_Churned,,None,26.5,Monthly,82,5000,-0.03,311930.75,9856354.25
